code,system
14A2.00,readv2
67H8.00,readv2
G203.00,readv2
G202.00,readv2
246M.00,readv2
662H.00,readv2
G20z.11,readv2
7Q01.00,readv2
G20..11,readv2
1JD..00,readv2
G20..12,readv2
6624,readv2
G24z100,readv2
G24..00,readv2
G24z.00,readv2
G24zz00,readv2
I15,readv2
662b.00,readv2
6627,readv2
6628,readv2
G210.00,readv2
G211z00,readv2
G21z100,readv2
G222.00,readv2
G23z.00,readv2
G211.00,readv2
G211000,readv2
G22z.11,readv2
G220.00,readv2
G210100,readv2
G22..00,readv2
G230.00,readv2
G221.00,readv2
Gyu2100,readv2
G211100,readv2
L128000,readv2
G210000,readv2
G21..00,readv2
G233.00,readv2
G21zz00,readv2
G21z000,readv2
G22z.00,readv2
G21z.00,readv2
G23..00,readv2
G210z00,readv2
G234.00,readv2
G232.00,readv2
G231.00,readv2
I13.2,readv2
I12.9,readv2
I11.0,readv2
I15.1,readv2
I11.9,readv2
I12.0,readv2
I13.0,readv2
I13,readv2
I12,readv2
I11,readv2
I13.1,readv2
TJC7z00,readv2
TJC7.00,readv2
662O.00,readv2
662F.00,readv2
8I3N.00,readv2
9OI5.00,readv2
9OIA.00,readv2
9OI1.00,readv2
9OI9.00,readv2
9OI8.00,readv2
9OIA.11,readv2
9OI4.00,readv2
662..12,readv2
9OI7.00,readv2
9OI2.00,readv2
9OI6.00,readv2
662P.00,readv2
G25..00,readv2
G25..11,readv2
G28..00,readv2
G240.00,readv2
G240z00,readv2
9OIZ.00,readv2
9OI..11,readv2
9OI..00,readv2
Gyu2.00,readv2
G2...00,readv2
G2z..00,readv2
662G.00,readv2
G2...11,readv2
G21z011,readv2
F421300,readv2
G672.11,readv2
F404200,readv2
G201.00,readv2
G20..00,readv2
G20z.00,readv2
G200.00,readv2
I10,readv2
9h32.00,readv2
U60C511,readv2
U60C51A,readv2
662q.00,readv2
662r.00,readv2
G240000,readv2
G24z000,readv2
G241000,readv2
I15.0,readv2
G241.00,readv2
G241z00,readv2
9N03.00,readv2
9N4L.00,readv2
8HT5.00,readv2
8CR4.00,readv2
9N1y200,readv2
G26..00,readv2
G26..11,readv2
9OI3.00,readv2
6629,readv2
L122z00,readv2
L128200,readv2
212K.00,readv2
2126100,readv2
Gyu2000,readv2
I15.8,readv2
662P000,readv2
662c.00,readv2
8BL0.00,readv2
9h31.00,readv2
L127.00,readv2
L127z00,readv2
L122.00,readv2
G244.00,readv2
I15.2,readv2
U60C500,readv2
G27..00,readv2
8B26.00,readv2
7Q01y00,readv2
G2y..00,readv2
L122000,readv2
I13.9,readv2
I15.9,readv2
G22..11,readv2
L122300,readv2
L122100,readv2
9h3..00,readv2
G672.00,readv2
I67.4,readv2
662d.00,readv2
L128.00,readv2
